Month,Date_Month,Quarter,Date_Quarter,Updated_Date_Quarter,Year,Department,Cost_Category,Cost_Type,Project_Code,Budgeted_Amount,Actual_Amount,Approval_Status,Comments,Variance,Variance _Percentage
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,HR,Training,Fixed,PROJ003,5100,5000,Approved,Leadership workshops,-100,-2
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,HR,Supplies,Variable,PROJ005,2600,2650,Approved,Office supplies,50,1.9
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Sales,Travel,Variable,PROJ001,15000,14700,Approved,Client visit expenses,-300,-2
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Sales,Salaries,Fixed,PROJ004,26000,26500,Approved,Monthly salaries,500,1.9
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,8700,8800,Approved,Laptop upgrades,100,1.1
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Sales,Training,Fixed,PROJ003,6300,6400,Approved,Sales skills workshop,100,1.6
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Sales,Supplies,Variable,PROJ005,4300,4200,Approved,Office supplies,-100,-2.3
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Travel,Variable,PROJ006,16000,16500,Approved,Trade show attendance,500,3.1
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Salaries,Fixed,PROJ007,24000,23500,Approved,Team salaries,-500,-2.1
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,9600,9700,Pending,Ad campaign hardware,100,1
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Training,Fixed,PROJ008,7300,7200,Approved,Certifications,-100,-1.4
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Supplies,Variable,PROJ005,3300,3350,Approved,Stationery,50,1.5
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,IT,Travel,Variable,PROJ001,11000,11200,Approved,Vendor visits,200,1.8
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,IT,Salaries,Fixed,PROJ004,28000,28500,Approved,Developer salaries,500,1.8
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,IT,Equipment,Semi-Variable,PROJ002,16000,16500,Approved,Server upgrades,500,3.1
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,IT,Training,Fixed,PROJ009,8300,8400,Approved,Cybersecurity training,100,1.2
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,IT,Supplies,Variable,PROJ005,3700,3600,Approved,Office supplies,-100,-2.7
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Operations,Travel,Variable,PROJ006,9400,9300,Approved,Site visits,-100,-1.1
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Operations,Salaries,Fixed,PROJ007,25000,24500,Approved,Operations salaries,-500,-2
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Operations,Equipment,Semi-Variable,PROJ002,11300,11500,Pending,Maintenance equipment,200,1.8
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Operations,Training,Fixed,PROJ008,6200,6150,Approved,Health & safety training,-50,-0.8
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,Operations,Supplies,Variable,PROJ005,3150,3100,Approved,Warehouse supplies,-50,-1.6
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,HR,Travel,Variable,PROJ001,8300,8400,Approved,Recruitment travel,100,1.2
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,HR,Salaries,Fixed,PROJ004,21000,21500,Approved,HR salaries,500,2.4
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,HR,Equipment,Semi-Variable,PROJ002,7300,7200,Rejected,Old equipment disposal,-100,-1.4
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,HR,Training,Fixed,PROJ003,5200,5100,Approved,Leadership workshops,-100,-1.9
March,Mar-24,Q1,01/01/2024,Q1 2024,2024,HR,Supplies,Variable,PROJ005,2700,2650,Approved,Office supplies,-50,-1.9
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Sales,Travel,Variable,PROJ001,15500,15000,Approved,Client visit expenses,-500,-3.2
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Sales,Salaries,Fixed,PROJ004,26500,27000,Approved,Monthly salaries,500,1.9
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,8800,8700,Approved,Laptop upgrades,-100,-1.1
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Sales,Training,Fixed,PROJ003,6400,6500,Approved,Sales skills workshop,100,1.6
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Sales,Supplies,Variable,PROJ005,4400,4300,Approved,Office supplies,-100,-2.3
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Travel,Variable,PROJ006,16500,17000,Approved,Trade show attendance,500,3
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Salaries,Fixed,PROJ007,24500,24000,Approved,Team salaries,-500,-2
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,9700,9600,Pending,Ad campaign hardware,-100,-1
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Training,Fixed,PROJ008,7400,7300,Approved,Certifications,-100,-1.4
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Supplies,Variable,PROJ005,3400,3350,Approved,Stationery,-50,-1.5
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,IT,Travel,Variable,PROJ001,11500,11700,Approved,Vendor visits,200,1.7
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,IT,Salaries,Fixed,PROJ004,28500,29000,Approved,Developer salaries,500,1.8
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,IT,Equipment,Semi-Variable,PROJ002,16500,17000,Approved,Server upgrades,500,3
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,IT,Training,Fixed,PROJ009,8400,8500,Approved,Cybersecurity training,100,1.2
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,IT,Supplies,Variable,PROJ005,3800,3750,Approved,Office supplies,-50,-1.3
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Operations,Travel,Variable,PROJ006,9500,9400,Approved,Site visits,-100,-1.1
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Operations,Salaries,Fixed,PROJ007,25500,25000,Approved,Operations salaries,-500,-2
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Operations,Equipment,Semi-Variable,PROJ002,11400,11600,Pending,Maintenance equipment,200,1.8
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Operations,Training,Fixed,PROJ008,6300,6250,Approved,Health & safety training,-50,-0.8
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,Operations,Supplies,Variable,PROJ005,3200,3150,Approved,Warehouse supplies,-50,-1.6
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,HR,Travel,Variable,PROJ001,8400,8500,Approved,Recruitment travel,100,1.2
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,HR,Salaries,Fixed,PROJ004,21500,22000,Approved,HR salaries,500,2.3
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,HR,Equipment,Semi-Variable,PROJ002,7400,7300,Rejected,Old equipment disposal,-100,-1.4
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,HR,Training,Fixed,PROJ003,5300,5250,Approved,Leadership workshops,-50,-0.9
April,Apr-24,Q2,01/04/2024,Q2 2024,2024,HR,Supplies,Variable,PROJ005,2800,2750,Approved,Office supplies,-50,-1.8
May,May-24,Q2,01/04/2024,Q2 2024,2024,Sales,Travel,Variable,PROJ001,16000,15500,Approved,Client visit expenses,-500,-3.1
May,May-24,Q2,01/04/2024,Q2 2024,2024,Sales,Salaries,Fixed,PROJ004,27000,27500,Approved,Monthly salaries,500,1.9
May,May-24,Q2,01/04/2024,Q2 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,8900,9000,Approved,Laptop upgrades,100,1.1
May,May-24,Q2,01/04/2024,Q2 2024,2024,Sales,Training,Fixed,PROJ003,6500,6600,Approved,Sales skills workshop,100,1.5
May,May-24,Q2,01/04/2024,Q2 2024,2024,Sales,Supplies,Variable,PROJ005,4500,4400,Approved,Office supplies,-100,-2.2
May,May-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Travel,Variable,PROJ006,17000,17500,Approved,Trade show attendance,500,2.9
May,May-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Salaries,Fixed,PROJ007,25000,24500,Approved,Team salaries,-500,-2
May,May-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,9800,9700,Pending,Ad campaign hardware,-100,-1
May,May-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Training,Fixed,PROJ008,7500,7400,Approved,Certifications,-100,-1.3
May,May-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Supplies,Variable,PROJ005,3500,3450,Approved,Stationery,-50,-1.4
May,May-24,Q2,01/04/2024,Q2 2024,2024,IT,Travel,Variable,PROJ001,12000,12200,Approved,Vendor visits,200,1.7
May,May-24,Q2,01/04/2024,Q2 2024,2024,IT,Salaries,Fixed,PROJ004,29000,29500,Approved,Developer salaries,500,1.7
May,May-24,Q2,01/04/2024,Q2 2024,2024,IT,Equipment,Semi-Variable,PROJ002,17000,17500,Approved,Server upgrades,500,2.9
May,May-24,Q2,01/04/2024,Q2 2024,2024,IT,Training,Fixed,PROJ009,8500,8600,Approved,Cybersecurity training,100,1.2
May,May-24,Q2,01/04/2024,Q2 2024,2024,IT,Supplies,Variable,PROJ005,3900,3850,Approved,Office supplies,-50,-1.3
May,May-24,Q2,01/04/2024,Q2 2024,2024,Operations,Travel,Variable,PROJ006,9600,9500,Approved,Site visits,-100,-1
May,May-24,Q2,01/04/2024,Q2 2024,2024,Operations,Salaries,Fixed,PROJ007,26000,25500,Approved,Operations salaries,-500,-1.9
May,May-24,Q2,01/04/2024,Q2 2024,2024,Operations,Equipment,Semi-Variable,PROJ002,11500,11700,Pending,Maintenance equipment,200,1.7
May,May-24,Q2,01/04/2024,Q2 2024,2024,Operations,Training,Fixed,PROJ008,6400,6350,Approved,Health & safety training,-50,-0.8
May,May-24,Q2,01/04/2024,Q2 2024,2024,Operations,Supplies,Variable,PROJ005,3250,3200,Approved,Warehouse supplies,-50,-1.5
May,May-24,Q2,01/04/2024,Q2 2024,2024,HR,Travel,Variable,PROJ001,8500,8600,Approved,Recruitment travel,100,1.2
May,May-24,Q2,01/04/2024,Q2 2024,2024,HR,Salaries,Fixed,PROJ004,22000,22500,Approved,HR salaries,500,2.3
May,May-24,Q2,01/04/2024,Q2 2024,2024,HR,Equipment,Semi-Variable,PROJ002,7500,7400,Rejected,Old equipment disposal,-100,-1.3
May,May-24,Q2,01/04/2024,Q2 2024,2024,HR,Training,Fixed,PROJ003,5400,5350,Approved,Leadership workshops,-50,-0.9
May,May-24,Q2,01/04/2024,Q2 2024,2024,HR,Supplies,Variable,PROJ005,2850,2800,Approved,Office supplies,-50,-1.8
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Sales,Travel,Variable,PROJ001,16500,16000,Approved,Client visit expenses,-500,-3
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Sales,Salaries,Fixed,PROJ004,27500,28000,Approved,Monthly salaries,500,1.8
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,9000,9100,Approved,Laptop upgrades,100,1.1
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Sales,Training,Fixed,PROJ003,6600,6700,Approved,Sales skills workshop,100,1.5
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Sales,Supplies,Variable,PROJ005,4600,4500,Approved,Office supplies,-100,-2.2
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Travel,Variable,PROJ006,17500,18000,Approved,Trade show attendance,500,2.9
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Salaries,Fixed,PROJ007,25500,25000,Approved,Team salaries,-500,-2
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,9900,9850,Pending,Ad campaign hardware,-50,-0.5
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Training,Fixed,PROJ008,7600,7550,Approved,Certifications,-50,-0.7
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Marketing,Supplies,Variable,PROJ005,3600,3550,Approved,Stationery,-50,-1.4
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,IT,Travel,Variable,PROJ001,12500,12700,Approved,Vendor visits,200,1.6
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,IT,Salaries,Fixed,PROJ004,29500,30000,Approved,Developer salaries,500,1.7
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,IT,Equipment,Semi-Variable,PROJ002,17500,18000,Approved,Server upgrades,500,2.9
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,IT,Training,Fixed,PROJ009,8600,8700,Approved,Cybersecurity training,100,1.2
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,IT,Supplies,Variable,PROJ005,4000,3950,Approved,Office supplies,-50,-1.3
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Operations,Travel,Variable,PROJ006,9700,9600,Approved,Site visits,-100,-1
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Operations,Salaries,Fixed,PROJ007,26500,26000,Approved,Operations salaries,-500,-1.9
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Operations,Equipment,Semi-Variable,PROJ002,11600,11800,Pending,Maintenance equipment,200,1.7
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Operations,Training,Fixed,PROJ008,6500,6450,Approved,Health & safety training,-50,-0.8
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,Operations,Supplies,Variable,PROJ005,3300,3250,Approved,Warehouse supplies,-50,-1.5
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,HR,Travel,Variable,PROJ001,8600,8700,Approved,Recruitment travel,100,1.2
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,HR,Salaries,Fixed,PROJ004,22500,23000,Approved,HR salaries,500,2.2
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,HR,Equipment,Semi-Variable,PROJ002,7600,7500,Rejected,Old equipment disposal,-100,-1.3
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,HR,Training,Fixed,PROJ003,5500,5450,Approved,Leadership workshops,-50,-0.9
June,Jun-24,Q2,01/04/2024,Q2 2024,2024,HR,Supplies,Variable,PROJ005,2900,2850,Approved,Office supplies,-50,-1.7
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Sales,Travel,Variable,PROJ001,17000,16500,Approved,Client visit expenses,-500,-2.9
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Sales,Salaries,Fixed,PROJ004,28000,28500,Approved,Monthly salaries,500,1.8
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,9100,9200,Approved,Laptop upgrades,100,1.1
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Sales,Training,Fixed,PROJ003,6700,6800,Approved,Sales skills workshop,100,1.5
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Sales,Supplies,Variable,PROJ005,4700,4600,Approved,Office supplies,-100,-2.1
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Travel,Variable,PROJ006,18000,18500,Approved,Trade show attendance,500,2.8
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Salaries,Fixed,PROJ007,26000,25500,Approved,Team salaries,-500,-1.9
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,10000,9950,Pending,Ad campaign hardware,-50,-0.5
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Training,Fixed,PROJ008,7700,7650,Approved,Certifications,-50,-0.6
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Supplies,Variable,PROJ005,3700,3650,Approved,Stationery,-50,-1.4
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,IT,Travel,Variable,PROJ001,13000,13200,Approved,Vendor visits,200,1.5
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,IT,Salaries,Fixed,PROJ004,30000,30500,Approved,Developer salaries,500,1.7
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,IT,Equipment,Semi-Variable,PROJ002,18000,18500,Approved,Server upgrades,500,2.8
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,IT,Training,Fixed,PROJ009,8700,8800,Approved,Cybersecurity training,100,1.1
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,IT,Supplies,Variable,PROJ005,4100,4000,Approved,Office supplies,-100,-2.4
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Operations,Travel,Variable,PROJ006,9800,9700,Approved,Site visits,-100,-1
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Operations,Salaries,Fixed,PROJ007,27000,26500,Approved,Operations salaries,-500,-1.9
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Operations,Equipment,Semi-Variable,PROJ002,11700,11900,Pending,Maintenance equipment,200,1.7
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Operations,Training,Fixed,PROJ008,6600,6550,Approved,Health & safety training,-50,-0.8
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,Operations,Supplies,Variable,PROJ005,3350,3300,Approved,Warehouse supplies,-50,-1.5
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,HR,Travel,Variable,PROJ001,8700,8800,Approved,Recruitment travel,100,1.1
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,HR,Salaries,Fixed,PROJ004,23000,23500,Approved,HR salaries,500,2.2
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,HR,Equipment,Semi-Variable,PROJ002,7700,7600,Rejected,Old equipment disposal,-100,-1.3
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,HR,Training,Fixed,PROJ003,5600,5550,Approved,Leadership workshops,-50,-0.9
July,Jul-24,Q3,01/07/2024,Q3 2024,2024,HR,Supplies,Variable,PROJ005,2950,2900,Approved,Office supplies,-50,-1.7
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Sales,Travel,Variable,PROJ001,17500,17000,Approved,Client visit expenses,-500,-2.9
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Sales,Salaries,Fixed,PROJ004,28500,29000,Approved,Monthly salaries,500,1.8
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,9200,9300,Approved,Laptop upgrades,100,1.1
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Sales,Training,Fixed,PROJ003,6800,6900,Approved,Sales skills workshop,100,1.5
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Sales,Supplies,Variable,PROJ005,4800,4700,Approved,Office supplies,-100,-2.1
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Travel,Variable,PROJ006,18500,19000,Approved,Trade show attendance,500,2.7
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Salaries,Fixed,PROJ007,26500,26000,Approved,Team salaries,-500,-1.9
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,10100,10000,Pending,Ad campaign hardware,-100,-1
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Training,Fixed,PROJ008,7800,7750,Approved,Certifications,-50,-0.6
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,Marketing,Supplies,Variable,PROJ005,3800,3750,Approved,Stationery,-50,-1.3
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,IT,Travel,Variable,PROJ001,13500,13700,Approved,Vendor visits,200,1.5
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,IT,Salaries,Fixed,PROJ004,30500,31000,Approved,Developer salaries,500,1.6
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,IT,Equipment,Semi-Variable,PROJ002,18500,19000,Approved,Server upgrades,500,2.7
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,IT,Training,Fixed,PROJ009,8800,8900,Approved,Cybersecurity training,100,1.1
August,Aug-24,Q3,01/07/2024,Q3 2024,2024,IT,Supplies,Variable,PROJ005,4200,4150,Approved,Office supplies,-50,-1.2
